Family,MK66F18,mk,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Device,MK66FN2M0VMD18,K66P144M180SF5RMV2,BGA_144,,,,,,,,,,,,
Device,MK66FX1M0VMD18,K66P144M180SF5RMV2,BGA_144,,,,,,,,,,,,
Device,MK66FN2M0VLQ18,K66P144M180SF5RMV2,LQFP_144,,,,,,,,,,,,
Device,MK66FX1M0VLQ18,K66P144M180SF5RMV2,LQFP_144,,,,,,,,,,,,
Device,FRDM_K66F,K66P144M180SF5RMV2,FRDM_K66F,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_144,Pkg FRDM_K66F,Pkg BGA_144,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Peripheral,FTM1,SIM->SCGC6,,,FTM1_IRQn,,,,,,,,,,
Peripheral,FTM2,SIM->SCGC6,,,FTM2_IRQn,,,,,,,,,,
Peripheral,ADC0,SIM->SCGC6,,,ADC0_IRQn,,,,,,,,,,
Peripheral,RTC,SIM->SCGC6,,,RTC_Alarm_IRQn,RTC_Seconds_IRQn,,,,,,,,,
Peripheral,DAC0,SIM->SCGC6,,,DAC0_IRQn,,,,,,,,,,
,,,,,,,,,,,,,,,
Peripheral,FLEXBUS,SIM->SCGC7,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,
Peripheral,MPU,SIM->SCGC7,,,,,,,,,,,,,
Peripheral,SDRAMC,SIM->SCGC7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LPTMR_PCS,0,MCGIRCLK,,,,,,,,,,,,,
LPTMR_PCS,1,LPO - 1 kHz clock,,,,,,,,,,,,,
LPTMR_PCS,2,ERCLK32K,,,,,,,,,,,,,
LPTMR_PCS,3,OSCERCLK_UNDIV,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,,
DmaMux,0,1,TSI0,,,,,,,,,,,,
DmaMux,0,2,UART0_Receive,,,,,,,,,,,,
DmaMux,0,3,UART0_Transmit,,,,,,,,,,,,
DmaMux,0,4,UART1_Receive,,,,,,,,,,,,
DmaMux,0,5,UART1_Transmit,,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,,
DmaMux,0,8,UART3_Receive,,,,,,,,,,,,
DmaMux,0,9,UART3_Transmit,,,,,,,,,,,,
DmaMux,0,10,UART4_TransmitReceive,,,,,,,,,,,,
DmaMux,0,12,I2S0_Receive,Yes,,,,,,,,,,,
DmaMux,0,13,I2S0_Transmit,Yes,,,,,,,,,,,
DmaMux,0,14,SPI0_Receive,,,,,,,,,,,,
DmaMux,0,15,SPI0_Transmit,,,,,,,,,,,,
DmaMux,0,16,SPI1_TransmitReceive,,,,,,,,,,,,
DmaMux,0,17,SPI2_TransmitReceive,,,,,,,,,,,,
DmaMux,0,18,I2C0_I2C3,,,,,,,,,,,,
DmaMux,0,19,I2C1_I2C2,,,,,,,,,,,,
DmaMux,0,20,FTM0_Ch_0,,,,,,,,,,,,
DmaMux,0,21,FTM0_Ch_1,,,,,,,,,,,,
DmaMux,0,22,FTM0_Ch_2,,,,,,,,,,,,
DmaMux,0,23,FTM0_Ch_3,,,,,,,,,,,,
DmaMux,0,24,FTM0_Ch_4,,,,,,,,,,,,
DmaMux,0,25,FTM0_Ch_5,,,,,,,,,,,,
DmaMux,0,26,FTM0_Ch_6,,,,,,,,,,,,
DmaMux,0,27,FTM0_Ch_7,,,,,,,,,,,,
DmaMux,0,28,FTM1_Ch_0/TPM1_Ch_0,,,,,,,,,,,,
DmaMux,0,29,FTM1_Ch_1/TPM1_Ch_1,,,,,,,,,,,,
DmaMux,0,30,FTM2_Ch_0/TPM2_Ch_0,,,,,,,,,,,,
DmaMux,0,31,FTM2_Ch_1/TPM2_Ch_1,,,,,,,,,,,,
DmaMux,0,32,FTM3_Ch_0,,,,,,,,,,,,
DmaMux,0,33,FTM3_Ch_1,,,,,,,,,,,,
DmaMux,0,34,FTM3_Ch_2,,,,,,,,,,,,
DmaMux,0,35,FTM3_Ch_3,,,,,,,,,,,,
DmaMux,0,36,FTM3_Ch_4,,,,,,,,,,,,
DmaMux,0,37,FTM3_Ch_5,,,,,,,,,,,,
DmaMux,0,38,FTM3_Ch_6/SPI2_Rx,,,,,,,,,,,,
DmaMux,0,39,FTM3_Ch_7/SPI2_Tx,,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,,
DmaMux,0,41,ADC1,Yes,,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,,
DmaMux,0,43,CMP1,Yes,,,,,,,,,,,
DmaMux,0,44,CMP2/CMP3,Yes,,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,,
DmaMux,0,46,DAC1,,,,,,,,,,,,
DmaMux,0,47,CMT,,,,,,,,,,,,
DmaMux,0,48,PDB,,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,,
DmaMux,0,50,PortB,Yes,,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,,
DmaMux,0,53,PortE,Yes,,,,,,,,,,,
DmaMux,0,54,IEEE1588_Timer0,,,,,,,,,,,,
DmaMux,0,55,IEEE1588_Timer1,,,,,,,,,,,,
DmaMux,0,56,IEEE1588_Timer2,,,,,,,,,,,,
DmaMux,0,57,IEEE1588_Timer3,,,,,,,,,,,,
DmaMux,0,58,LPUART0_Rx,Yes,,,,,,,,,,,
DmaMux,0,59,LPUART0_Tx,Yes,,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled2,,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled3,,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled4,,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled5,,,,,,,,,,,,
