Family,MK64F12,mk,,,,,,,,,,,,,,,
Peripheral,FB,SIM->SCGC7,SIM_SCGC7_FLEXBUS_MASK,,,,,,,,,,,,,,
Peripheral,DMA,SIM->SCGC7,,,,,,,,,,,,,,,
Peripheral,MPU,SIM->SCGC7,,,,,,,,,,,,,,,
Peripheral,SMC,,,,,,,,,,,,,,,,
Peripheral,SIM,,,,,,,,,,,,,,,,
Peripheral,CONSOLE,,,,,,,,,,,,,,,,
Peripheral,LLWU,,,,LLWU_IRQn,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LPTMR_PCS,0,MCGIRCLK,,,,,,,,,,,,,,,
,1,LPO - 1 kHz clock,,,,,,,,,,,,,,,
,2,ERCLK32K,,,,,,,,,,,,,,,
,3,OSCERCLK_UNDIV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,,,,
DmaMux,0,2,UART0_Receive,,,,,,,,,,,,,,
DmaMux,0,3,UART0_Transmit,,,,,,,,,,,,,,
DmaMux,0,4,UART1_Receive,,,,,,,,,,,,,,
DmaMux,0,5,UART1_Transmit,,,,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,,,,
DmaMux,0,8,UART3_Receive,,,,,,,,,,,,,,
DmaMux,0,9,UART3_Transmit,,,,,,,,,,,,,,
DmaMux,0,10,UART4_TransmitReceive,,,,,,,,,,,,,,
DmaMux,0,11,UART5_TransmitReceive,,,,,,,,,,,,,,
DmaMux,0,12,I2S0_Receive,Yes,,,,,,,,,,,,,
DmaMux,0,13,I2S0_Transmit,Yes,,,,,,,,,,,,,
DmaMux,0,14,SPI0_Receive,,,,,,,,,,,,,,
DmaMux,0,15,SPI0_Transmit,,,,,,,,,,,,,,
DmaMux,0,16,SPI1_TransmitReceive,,,,,,,,,,,,,,
DmaMux,0,17,SPI2_TransmitReceive,,,,,,,,,,,,,,
DmaMux,0,18,I2C0,,,,,,,,,,,,,,
DmaMux,0,19,I2C1_I2C2,,,,,,,,,,,,,,
DmaMux,0,20,FTM0_Ch_0,,,,,,,,,,,,,,
DmaMux,0,21,FTM0_Ch_1,,,,,,,,,,,,,,
DmaMux,0,22,FTM0_Ch_2,,,,,,,,,,,,,,
DmaMux,0,23,FTM0_Ch_3,,,,,,,,,,,,,,
DmaMux,0,24,FTM0_Ch_4,,,,,,,,,,,,,,
DmaMux,0,25,FTM0_Ch_5,,,,,,,,,,,,,,
DmaMux,0,26,FTM0_Ch_6,,,,,,,,,,,,,,
DmaMux,0,27,FTM0_Ch_7,,,,,,,,,,,,,,
DmaMux,0,28,FTM1_Ch_0,,,,,,,,,,,,,,
DmaMux,0,29,FTM1_Ch_1,,,,,,,,,,,,,,
DmaMux,0,30,FTM2_Ch_0,,,,,,,,,,,,,,
DmaMux,0,31,FTM2_Ch_1,,,,,,,,,,,,,,
DmaMux,0,32,FTM3_Ch_0,,,,,,,,,,,,,,
DmaMux,0,33,FTM3_Ch_1,,,,,,,,,,,,,,
DmaMux,0,34,FTM3_Ch_2,,,,,,,,,,,,,,
DmaMux,0,35,FTM3_Ch_3,,,,,,,,,,,,,,
DmaMux,0,36,FTM3_Ch_4,,,,,,,,,,,,,,
DmaMux,0,37,FTM3_Ch_5,,,,,,,,,,,,,,
DmaMux,0,38,FTM3_Ch_6,,,,,,,,,,,,,,
DmaMux,0,39,FTM3_Ch_7,,,,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,,,,
DmaMux,0,41,ADC1,Yes,,,,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,,,,
DmaMux,0,43,CMP1,Yes,,,,,,,,,,,,,
DmaMux,0,44,CMP2,Yes,,,,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,,,,
DmaMux,0,46,DAC1,,,,,,,,,,,,,,
DmaMux,0,47,CMT,,,,,,,,,,,,,,
DmaMux,0,48,PDB,,,,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,,,,
DmaMux,0,50,PortB,Yes,,,,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,,,,
DmaMux,0,53,PortE,Yes,,,,,,,,,,,,,
DmaMux,0,54,IEEE1588_Timer0,,,,,,,,,,,,,,
DmaMux,0,55,IEEE1588_Timer1,,,,,,,,,,,,,,
DmaMux,0,56,IEEE1588_Timer2,,,,,,,,,,,,,,
DmaMux,0,57,IEEE1588_Timer3,,,,,,,,,,,,,,
DmaMux,0,58,AlwaysEnabled0,,,,,,,,,,,,,,
DmaMux,0,59,AlwaysEnabled1,,,,,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled2,,,,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled3,,,,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled4,,,,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Peripheral,key,value,,,,,,,,,,,,,,
Param,SIM,coreFreq,120MHz,,,,,,,,,,,,,,
Param,SIM,busFreq,60MHz,,,,,,,,,,,,,,
Param,SIM,flashFreq,25MHz,,,,,,,,,,,,,,
Param,SIM,flexFreq,50MHz,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Param,UART0,clockSource,SystemCoreClock,,,,,,,,,,,,,,
Param,UART1,clockSource,SystemCoreClock,,,,,,,,,,,,,,
Param,UART2,clockSource,SystemBusClock,,,,,,,,,,,,,,
Param,UART3,clockSource,SystemBusClock,,,,,,,,,,,,,,
Param,UART4,clockSource,SystemBusClock,,,,,,,,,,,,,,
Param,UART5,clockSource,SystemBusClock,,,,,,,,,,,,,,
